+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|            225 | п041115                 |      31.8 |         30.4 |        29.5 |
|            226 | п041115                 |      31.5 |         30.8 |        29.7 |
|            227 | п041115                 |      31.3 |         30.5 |        29.6 |
|            228 | п101115                 |      33.7 |         31.2 |        30.8 |
|            229 | п011215                 |      30.2 |         28.7 |        29.5 |
|            230 | п031215                 |      32.7 |         31.6 |        30.4 |
|            231 | п011215                 |      29.6 |         28.4 |        29.2 |
|            232 | п011215                 |      31.5 |         30.7 |        29.9 |
|            233 | п011215                 |      29.8 |         27.6 |        27.9 |
|            234 | п031215                 |      30.7 |         28.3 |        28.4 |
|            235 | п011215                 |      29.9 |         28.2 |        28.5 |
|            236 | п011215                 |      29.4 |         28   |        28.7 |
|            237 | п011215                 |      29.6 |         27.9 |        28.7 |
|            238 | п031215                 |      30.2 |         29.3 |        29.4 |
|            239 | п011215                 |      29.4 |         28   |        28.8 |
|            240 | п110116                 |      35.6 |         35.4 |        30.7 |
|            241 | п120116                 |      37.1 |         36.7 |        32.5 |
|            242 | п110116                 |      30   |         29.4 |        29.7 |
|            243 | п120116                 |      31.2 |         30.4 |        30.2 |
|            244 | п110116                 |      28   |         27.2 |        26.4 |
|            245 | п110116                 |      28.4 |         27.7 |        27.8 |
|            246 | п120116                 |      31.2 |         30.4 |        29.6 |
|            247 | п120116                 |      30.8 |         29.6 |        29.5 |
|            248 | п120116                 |      31.4 |         30.8 |        30.1 |
|            249 | п120116                 |      30.9 |         29.3 |        29.7 |
|            250 | п120116                 |      31.2 |         30.6 |        29.4 |
|            251 | п120116                 |      30.6 |         29.8 |        29.4 |
|            252 | п100216                 |      28.4 |         26.9 |        29.3 |
|            253 | п100216                 |      28.8 |         27.2 |        29.4 |
|            254 | п110216                 |      38.4 |         37.7 |        37.6 |
|            255 | п100216                 |      29.6 |         28.4 |        28.5 |
|            256 | п100216                 |      29.4 |         27.9 |        28.5 |
|            257 | п100316                 |      30.2 |         28.8 |        28   |
|            258 | п100316                 |      30.8 |         28.4 |        28.3 |
|            259 | п100316                 |      29.5 |         28.8 |        28.4 |
|            260 | п100316                 |      29.3 |         28.9 |        28   |
|            261 | п100316                 |      30   |         29.4 |        29.1 |
|            262 | п100316                 |      28.9 |         27.4 |        28.3 |
|            263 | п100316                 |      29.4 |         28   |        27.8 |
|            264 | п100316                 |      28.9 |         27.3 |        27.4 |
|            265 | п100316                 |      28.8 |         28   |        27.2 |
|            266 | п010416                 |      28.7 |         28.2 |        27.4 |
|            267 | п010416                 |      29.3 |         28.4 |        28.7 |
|            268 | п010416                 |      29   |         27.3 |        28.4 |
|            269 | п200616                 |      30.2 |         29.8 |        28   |
|            270 | п060716                 |      30.2 |         29.5 |        29.3 |
|            271 | п050816                 |      38.4 |         36.8 |        33.6 |
|            272 | п050816                 |      37.8 |         36   |        33.2 |
|            273 | п230816                 |      35.8 |         36   |        34.4 |
|            274 | п050816                 |      32.8 |         31   |        31.2 |
|            275 | п050816                 |      32.9 |         31.2 |        31.4 |
|            276 | п230816                 |      36.4 |         35.6 |        34.8 |
|            277 | п080916                 |      32.8 |         31.8 |        30.6 |
|            278 | п080916                 |      33   |         32.2 |        31.4 |
|            279 | п080916                 |      33.2 |         32.8 |        32   |
|            280 | п080916                 |      32.8 |         31.4 |        30.8 |
|            281 | п080916                 |      33.6 |         33.8 |        32   |
|            282 | п080916                 |      35   |         34.4 |        32.8 |
|            283 | п140916                 |      36   |         35.2 |        34.8 |
|            284 | п080916                 |      34.8 |         34   |        32.8 |
|            285 | п080916                 |      33.6 |         33.8 |        32   |
|            286 | п080916                 |      33.8 |         32.8 |        31.2 |
|            287 | п080916                 |      30.8 |         30.4 |        29.6 |
|            288 | п080916                 |      30.4 |         28.8 |        29.8 |
|            289 | п080916                 |      30.8 |         30.8 |        29.6 |
